日期,城市,行政区,观测站,气温(度),相对湿度(%),累积雨量(mm)
2015-12-25,桃園市,蘆竹區,蘆竹,13.5℃,91,2
2015-12-26,南投縣,水里鄉,水里,24℃,65,0
2015-12-27,苗栗縣,後龍鎮,海埔,15.3℃,88,1.5
2015-12-28,嘉義縣,阿里山鄉,里佳,19.4℃,61,0
2015-12-29,屏東縣,枋寮鄉,下寮,23.7℃,83,0
2015-12-30,臺北市,文山區,文山,14.1℃,90,-99
2015-12-31,臺東縣,成功鎮,水試所成功,21.5℃,72,0
2016-1-1,臺東縣,太麻里鄉,金崙山,15.3℃,100,0
2016-1-2,高雄市,甲仙區,小林,28.1℃,55,0
2016-1-3,臺東縣,東河鄉,東河,21.3℃,78,0
2016-1-4,屏東縣,南州鄉,南州,25.1℃,82,-99
2016-1-5,花蓮縣,玉里鎮,安通山,16.1℃,100,0
2016-1-6,彰化縣,永靖鄉,永靖,23.2℃,57,0
2016-1-7,苗栗縣,通霄鎮,通霄,17.8℃,69,0.5
2016-1-8,桃園市,新屋區,中大臨海站,13.6℃,97,0.5
2016-1-9,新竹縣,橫山鄉,橫山,14.8℃,83,5.5
2016-1-10,雲林縣,西螺鎮,西螺,22.4℃,60,0
2016-1-11,花蓮縣,新城鄉,新城,19.3℃,85,0
2016-1-12,新北市,八里區,八里,14℃,93,-99
2016-1-13,嘉義縣,番路鄉,番路,20.8℃,83,0
2016-1-14,高雄市,小港區,鳳森,26℃,65,0
2016-1-15,屏東縣,滿州鄉,檳榔,20.9℃,85,0
2016-1-16,苗栗縣,泰安鄉,馬都安,13.4℃,95,2
2016-1-17,高雄市,梓官區,梓官,-99℃,-9900,-99
2016-1-18,花蓮縣,秀林鄉,清水斷崖,19.5℃,77,0
2016-1-19,臺東縣,卑南鄉,知本,17.8℃,91,0
2016-1-20,花蓮縣,鳳林鎮,鳳林山,14.3℃,100,2.5
2016-1-21,宜蘭縣,員山鄉,雙連埤,14.1℃,99,0
2016-1-22,苗栗縣,苗栗市,苗栗,17.3℃,77,1
2016-1-23,屏東縣,獅子鄉,內獅,24.1℃,94,0
2016-1-24,彰化縣,溪湖鎮,溪湖,22℃,79,0
2016-1-25,嘉義縣,布袋鎮,好美里,20.6℃,76,0
2016-1-26,宜蘭縣,頭城鎮,北關,16.1℃,79,0
2016-1-27,金門縣,金沙鎮,金沙,12.5℃,80,3
2016-1-28,宜蘭縣,大同鄉,南山,10.4℃,100,0
2016-1-29,屏東縣,恆春鎮,墾丁,21.9℃,84,0
2016-1-30,臺南市,安定區,安定,24.6℃,71,-99
2016-1-31,花蓮縣,卓溪鄉,佳心,14.5℃,99,0
2016-2-1,南投縣,仁愛鄉,萬大林道,19.8℃,61,0
2016-2-2,南投縣,鹿谷鄉,鳳凰,20℃,89,0
2016-2-3,臺南市,白河區,關子嶺,21.2℃,83,0
2016-2-4,臺東縣,大武鄉,山豬窟,19℃,100,0
2016-2-5,苗栗縣,三灣鄉,大河,16.4℃,73,4.5
2016-2-6,花蓮縣,秀林鄉,水源,14.1℃,100,3.5
2016-2-7,彰化縣,員林市,員林,23.9℃,54,0
2016-2-8,雲林縣,虎尾鎮,高鐵雲林,22.1℃,64,0
2016-2-9,臺南市,東山區,東河,24.2℃,67,0
2016-2-10,屏東縣,枋山鄉,加祿堂,23.6℃,83,0
2016-2-11,臺北市,信義區,信義,14.9℃,82,0.5
2016-2-12,連江縣,莒光鄉,東莒,10.2℃,83,1
2016-2-13,屏東縣,枋山鄉,楓港,23.9℃,65,0
